building_rye_farm: "ライ麦畑"
building_rye_farm_lens_option: "$building_rye_farm$を拡張"
building_wheat_farm: "小麦畑"
building_wheat_farm_lens_option: "$building_wheat_farm$を拡張"
building_rice_farm: "稲田"
building_rice_farm_lens_option: "$building_rice_farm$を拡張"
building_maize_farm: "トウモロコシ畑"
building_maize_farm_lens_option: "$building_maize_farm$を拡張"
building_millet_farm: "キビ畑"
building_millet_farm_lens_option: "$building_millet_farm$を拡張"
building_livestock_ranch: "家畜牧場"
building_livestock_ranch_lens_option: "$building_livestock_ranch$を拡張"
building_coffee_plantation: "コーヒー農園"
building_coffee_plantation_lens_option: "$building_coffee_plantation$を拡張"
building_cotton_plantation: "綿花農園"
building_cotton_plantation_lens_option: "$building_cotton_plantation$を拡張"
building_dye_plantation: "染料農園"
building_dye_plantation_lens_option: "$building_dye_plantation$を拡張"
building_opium_plantation: "アヘン農園"
building_opium_plantation_lens_option: "$building_opium_plantation$を拡張"
building_tea_plantation: "茶園"
building_tea_plantation_lens_option: "$building_tea_plantation$を拡張"
building_tobacco_plantation: "タバコ農園"
building_tobacco_plantation_lens_option: "$building_tobacco_plantation$を拡張"
building_sugar_plantation: "砂糖農園"
building_sugar_plantation_lens_option: "$building_sugar_plantation$を拡張"
building_banana_plantation: "バナナ農園"
building_banana_plantation_lens_option: "$building_banana_plantation$を拡張"
building_silk_plantation: "養蚕農園"
building_silk_plantation_lens_option: "$building_silk_plantation$を拡張"
building_vineyard_plantation: "ブドウ園"
building_vineyard_plantation_lens_option: "$building_vineyard_plantation$を拡張"
